Treatment,Name,TrackingRegion,ObjectID,ObsMinutes,TotalDistance,TotalDistancePerMin,PercSleeping,PercWalking,PercMicro,PercResting,AvgSpeed,StartMinutes,EndMinutes,FinalPI,FinalPercentage,Light,NoLight,Transitions
R2R4,T_11_0,T_11,0,59.99737398666666,11326.905817922,188.79002638414144,0.0,0.6102827401884935,0.2863975242650162,0.10331973554649036,3.141787682407289,10.000639446666666,69.99801343333333,0.062164563710680645,0.5254606836404557,14942,13193,80
Control4,T_12_0,T_12,0,59.99737398666666,13539.565690000087,225.66930501006615,0.0,0.6463637642425095,0.2731748487832325,0.08046138697425799,3.7617091334689308,10.000639446666666,69.99801343333333,0.19428877387114046,0.5883035588690393,16729,11286,118
R2R4,T_13_0,T_13,0,59.99737398666666,20623.064419869253,343.73278444573856,0.0,0.8170628780419187,0.12143058095372064,0.06150654100436067,5.738891329720814,10.000639446666666,69.99801343333333,0.1300275285116728,0.555774370516247,15804,12167,177
Control,T_14_0,T_14,0,59.99737398666666,15435.043463682961,257.261983951383,0.0,0.7140596427064285,0.2125123083415389,0.07342804895203263,4.296281064821159,10.000639446666666,69.99801343333333,0.11638563706010811,0.5483190322126882,15592,12341,149
R2R4,T_15_0,T_15,0,59.99737398666666,16120.441230198681,268.6857800439926,0.0,0.7182444788296526,0.20748347165564776,0.07427204951469968,4.4920861571855655,10.000639446666666,69.99801343333333,0.11313059033989266,0.5470530313686875,15556,12394,132
Control4,T_16_0,T_16,0,59.99737398666666,8086.746488032623,134.78500725431346,0.0,0.4216134477422985,0.5134688423125615,0.06491770994513997,2.2505617950249395,10.000639446666666,69.99801343333333,0.2423514221154191,0.609051906034604,17319,10562,53
R2R4,T_17_0,T_17,0,59.99737398666666,12783.696597489052,213.07093541010644,0.0,0.5780700520467014,0.33710789140526093,0.0848220565480377,3.551067367273922,10.000639446666666,69.99801343333333,0.04594351502068717,0.5111830074553383,14536,13259,107
Control,T_18_0,T_18,0,59.99737398666666,12013.972128759555,200.24163276595146,0.0,0.5736390490926994,0.2605148403432269,0.16584611056407372,3.3390189555871195,10.000639446666666,69.99801343333333,-0.08521444695259593,0.4560416373610916,12968,15384,115
R2R4,T_19_0,T_19,0,59.99737398666666,8185.701801855173,136.43433467061905,0.0,0.38816992544661694,0.3139330426220284,0.29789703193135464,2.282158098676571,10.000639446666666,69.99801343333333,-0.5172925949501379,0.24001266000844002,6825,21453,62
Control,T_2_0,T_2,0,59.99737398666666,6996.384773533404,116.61151661551429,0.0,0.34646223097482065,0.2900548600365734,0.36348290898860597,1.9410376165173784,10.000639446666666,69.99801343333333,0.6533008735500502,0.8119988746659165,23090,4842,54
Control4,T_20_0,T_20,0,59.99737398666666,10986.960250426388,183.12401894236308,0.0,0.5103390068926713,0.27321001547334367,0.21645097763398508,3.049919859396926,10.000639446666666,69.99801343333333,0.10566291023421769,0.5503235335490224,15649,12658,87
R2R4,T_21_0,T_21,0,59.99737398666666,3693.485552899765,61.56078687244838,0.0,0.16957377971585313,0.3106977071318048,0.5197285131523421,1.0274956976076235,10.000639446666666,69.99801343333333,-0.8165208803611738,0.09146856097904066,2601,25751,22
Control,T_22_0,T_22,0,59.99737398666666,14385.892274099595,239.7753654567715,0.0,0.715853143902096,0.22520748347165565,0.05893937262624842,4.000079705740077,10.000639446666666,69.99801343333333,-0.32022451825104575,0.33432972288648194,9507,18464,115
R2R4,T_23_0,T_23,0,59.99737398666666,5589.624373173602,93.16448373916825,0.0,0.22756365170910114,0.39995076663384443,0.3724855816570544,1.5584460841245176,10.000639446666666,69.99801343333333,-0.6214321127558609,0.18796595864397242,5345,22893,46
Control,T_24_0,T_24,0,59.99737398666666,11411.029311585626,190.19214597828102,0.0,0.6399985933323955,0.2925516950344634,0.06744971163314109,3.1754086025193096,10.000639446666666,69.99801343333333,-0.156770520210772,0.41925727950485303,11922,16355,88
R2R4,T_25_0,T_25,0,59.99737398666666,8324.213129884934,138.74295784570242,0.0,0.4080742720495147,0.35908707272471513,0.23283865522577016,2.3085708040633186,10.000639446666666,69.99801343333333,0.23183121526425715,0.6118652412434942,17399,10850,79
Control4,T_26_0,T_26,0,59.99737398666666,12899.432749926369,214.99995571127891,0.0,0.6280419186946125,0.2311858207905472,0.14077226051484035,3.594520686166206,10.000639446666666,69.99801343333333,-0.222658599582493,0.38630609087072726,10985,17278,118
R2R4,T_27_0,T_27,0,59.99737398666666,10216.877873317804,170.28875089746964,0.0,0.5088620059080039,0.37550991700661135,0.11562807708538472,2.8345171196640764,10.000639446666666,69.99801343333333,-0.22630478687595224,0.38394992263328176,10918,17305,87
Control,T_28_0,T_28,0,59.99737398666666,12462.85236865866,207.72329754679438,0.0,0.6954564636376425,0.22123364748909832,0.08330988887325926,3.4685443435407057,10.000639446666666,69.99801343333333,-0.31493781797625775,0.3409410606273737,9695,18609,85
R2R4,T_29_0,T_29,0,59.99737398666666,11860.717302204344,197.68727386035556,0.0,0.6000140666760444,0.29754536503024337,0.10244056829371219,3.29693394352083,10.000639446666666,69.99801343333333,-0.2613540197461213,0.36833591222394146,10474,17886,99
R2R4,T_3_0,T_3,0,59.99737398666666,3901.5772724690282,65.02913399736602,0.0,0.2001688001125334,0.3483612322408215,0.4514699676466451,1.0860157598418112,10.000639446666666,69.99801343333333,0.8020873872280205,0.8956252637501758,25468,2797,21
Control4,T_30_0,T_30,0,59.99737398666666,18708.109116113323,311.81546579473405,0.0,0.8167815445210297,0.15075960050640033,0.032458854972569985,5.200395567190393,10.000639446666666,69.99801343333333,-0.2431477818592823,0.3767759178506119,10714,17598,158
R2R4,T_31_0,T_31,0,59.99737398666666,7257.690567035559,120.96680379125344,0.0,0.32697988465325645,0.4769306512871009,0.1960894640596427,2.0129057315505854,10.000639446666666,69.99801343333333,-0.05703583292105449,0.46919397946265295,13342,14956,55
